# Transit paramenters: rp1: 0.100 rp2: 0.090, phi: -45.000, inc: 89.000, a: 1.500, period: 3.000, t0: 0.000, u1: 0.300, u2: 0.200, ecc: 0.000, omega: 90.000
# Time 	 CatwomanFlux 	 NumericalFlux 	 BatmanFlux
-0.0555555556 0.9896119748 0.9896121578 0.9896147920
-0.0454545455 0.9895961190 0.9895962658 0.9895984816
-0.0353535354 0.9895836317 0.9895838969 0.9895855371
-0.0252525253 0.9895745465 0.9895746191 0.9895758887
