# Transit paramenters: rp1: 0.100 rp2: 0.090, phi: -45.000, inc: 55.000, a: 1.500, period: 3.000, t0: 0.000, u1: 0.300, u2: 0.200, ecc: 0.000, omega: 90.000
# Time 	 CatwomanFlux 	 NumericalFlux 	 BatmanFlux
0.2272727273 0.9978649885 0.9978641206 0.9979544878
0.2373737374 0.9984242976 0.9984250160 0.9985095226
0.2474747475 0.9989339560 0.9989344909 0.9990150191
0.2575757576 0.9993749087 0.9993768487 0.9994519361
