# Transit paramenters: rp1: 0.100 rp2: 0.090, phi: -45.000, inc: 55.000, a: 1.500, period: 3.000, t0: 0.000, u1: 0.300, u2: 0.200, ecc: 0.000, omega: 90.000
# Time 	 CatwomanFlux 	 NumericalFlux 	 BatmanFlux
0.1868686869 0.9954277544 0.9954275585 0.9955354570
0.1969696970 0.9960408698 0.9960422882 0.9961438429
0.2070707071 0.9966596491 0.9966609609 0.9967580223
0.2171717172 0.9972720513 0.9972748905 0.9973659115
